
  ThroughputRx: 8434.8 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 8434.8 kbps	
  ThroughputRx: 8434.8 kbps	  ThroughputRx: 1053 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9487.8 kbps	
  ThroughputRx: 4687.2 kbps	  ThroughputRx: 588.6 kbps	  ThroughputRx: 4687.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 6615 kbps	  ThroughputRx: 356.4 kbps	  ThroughputRx: 2802.6 kbps	  ThroughputRx: 189 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 6264 kbps	  ThroughputRx: 345.6 kbps	  ThroughputRx: 2824.2 kbps	  ThroughputRx: 345.6 kbps	  ThroughputRx: 183.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 5869.8 kbps	  ThroughputRx: 345.6 kbps	  ThroughputRx: 2813.4 kbps	  ThroughputRx: 356.4 kbps	  ThroughputRx: 345.6 kbps	  ThroughputRx: 232.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 5329.8 kbps	  ThroughputRx: 356.4 kbps	  ThroughputRx: 2797.2 kbps	  ThroughputRx: 361.8 kbps	  ThroughputRx: 356.4 kbps	  ThroughputRx: 453.6 kbps	  ThroughputRx: 307.8 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4644 kbps	  ThroughputRx: 345.6 kbps	  ThroughputRx: 2835 kbps	  ThroughputRx: 351 kbps	  ThroughputRx: 351 kbps	  ThroughputRx: 459 kbps	  ThroughputRx: 615.6 kbps	  ThroughputRx: 361.8 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4147.2 kbps	  ThroughputRx: 351 kbps	  ThroughputRx: 2808 kbps	  ThroughputRx: 356.4 kbps	  ThroughputRx: 356.4 kbps	  ThroughputRx: 453.6 kbps	  ThroughputRx: 610.2 kbps	  ThroughputRx: 696.6 kbps	  ThroughputRx: 183.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 3780 kbps	  ThroughputRx: 340.2 kbps	  ThroughputRx: 2797.2 kbps	  ThroughputRx: 351 kbps	  ThroughputRx: 356.4 kbps	  ThroughputRx: 469.8 kbps	  ThroughputRx: 626.4 kbps	  ThroughputRx: 702 kbps	  ThroughputRx: 361.8 kbps	  ThroughputRx: 178.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 3407.4 kbps	  ThroughputRx: 351 kbps	  ThroughputRx: 2835 kbps	  ThroughputRx: 351 kbps	  ThroughputRx: 345.6 kbps	  ThroughputRx: 469.8 kbps	  ThroughputRx: 621 kbps	  ThroughputRx: 707.4 kbps	  ThroughputRx: 345.6 kbps	  ThroughputRx: 351 kbps	  ThroughputRx: 178.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
