
  ThroughputRx: 5275.8 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 5275.8 kbps	
  ThroughputRx: 5275.8 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 5275.8 kbps	
  ThroughputRx: 5270.4 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 5270.4 kbps	
  ThroughputRx: 5275.8 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 5275.8 kbps	
  ThroughputRx: 4978.8 kbps	  ThroughputRx: 4984.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4978.8 kbps	  ThroughputRx: 4984.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4978.8 kbps	  ThroughputRx: 4984.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4460.4 kbps	  ThroughputRx: 4455 kbps	  ThroughputRx: 1047.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4455 kbps	  ThroughputRx: 4460.4 kbps	  ThroughputRx: 1047.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4455 kbps	  ThroughputRx: 4455 kbps	  ThroughputRx: 1053 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 4455 kbps	  ThroughputRx: 4455 kbps	  ThroughputRx: 1053 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 3461.4 kbps	  ThroughputRx: 3456 kbps	  ThroughputRx: 1053 kbps	  ThroughputRx: 1992.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 3461.4 kbps	  ThroughputRx: 3461.4 kbps	  ThroughputRx: 1047.6 kbps	  ThroughputRx: 1992.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 3461.4 kbps	  ThroughputRx: 3461.4 kbps	  ThroughputRx: 1047.6 kbps	  ThroughputRx: 1992.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 3461.4 kbps	  ThroughputRx: 3461.4 kbps	  ThroughputRx: 1053 kbps	  ThroughputRx: 1987.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 2440.8 kbps	  ThroughputRx: 2446.2 kbps	  ThroughputRx: 1042.2 kbps	  ThroughputRx: 1971 kbps	  ThroughputRx: 2062.8 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 2462.4 kbps	  ThroughputRx: 2462.4 kbps	  ThroughputRx: 1047.6 kbps	  ThroughputRx: 1998 kbps	  ThroughputRx: 1992.6 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 2467.8 kbps	  ThroughputRx: 2462.4 kbps	  ThroughputRx: 1047.6 kbps	  ThroughputRx: 1992.6 kbps	  ThroughputRx: 1992.6 kbps	  ThroughputRx: 9963 kbps	
  ThroughputRx: 2467.8 kbps	  ThroughputRx: 2467.8 kbps	  ThroughputRx: 1053 kbps	  ThroughputRx: 1987.2 kbps	  ThroughputRx: 1987.2 kbps	  ThroughputRx: 9963 kbps	
