
  ThroughputRx: 7649.77 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 7649.77 kbps	
  ThroughputRx: 7780.27 kbps	  ThroughputRx: 1114.34 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 8894.61 kbps	
  ThroughputRx: 4678.2 kbps	  ThroughputRx: 511.992 kbps	  ThroughputRx: 4557.73 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 4477.42 kbps	  ThroughputRx: 572.227 kbps	  ThroughputRx: 4487.46 kbps	  ThroughputRx: 210.82 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 4276.64 kbps	  ThroughputRx: 672.617 kbps	  ThroughputRx: 4226.45 kbps	  ThroughputRx: 572.227 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 4226.45 kbps	  ThroughputRx: 562.188 kbps	  ThroughputRx: 3995.55 kbps	  ThroughputRx: 501.953 kbps	  ThroughputRx: 461.797 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 3985.51 kbps	  ThroughputRx: 712.773 kbps	  ThroughputRx: 3654.22 kbps	  ThroughputRx: 421.641 kbps	  ThroughputRx: 441.719 kbps	  ThroughputRx: 532.07 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 3694.38 kbps	  ThroughputRx: 451.758 kbps	  ThroughputRx: 3604.02 kbps	  ThroughputRx: 542.109 kbps	  ThroughputRx: 491.914 kbps	  ThroughputRx: 481.875 kbps	  ThroughputRx: 481.875 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 3593.98 kbps	  ThroughputRx: 522.031 kbps	  ThroughputRx: 3363.09 kbps	  ThroughputRx: 491.914 kbps	  ThroughputRx: 481.875 kbps	  ThroughputRx: 421.641 kbps	  ThroughputRx: 441.719 kbps	  ThroughputRx: 431.68 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 3272.73 kbps	  ThroughputRx: 511.992 kbps	  ThroughputRx: 3403.24 kbps	  ThroughputRx: 421.641 kbps	  ThroughputRx: 451.758 kbps	  ThroughputRx: 421.641 kbps	  ThroughputRx: 501.953 kbps	  ThroughputRx: 321.25 kbps	  ThroughputRx: 431.68 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9737.89 kbps	
  ThroughputRx: 3192.42 kbps	  ThroughputRx: 421.641 kbps	  ThroughputRx: 3282.77 kbps	  ThroughputRx: 371.445 kbps	  ThroughputRx: 411.602 kbps	  ThroughputRx: 411.602 kbps	  ThroughputRx: 451.758 kbps	  ThroughputRx: 411.602 kbps	  ThroughputRx: 431.68 kbps	  ThroughputRx: 361.406 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 3071.95 kbps	  ThroughputRx: 381.484 kbps	  ThroughputRx: 3041.84 kbps	  ThroughputRx: 351.367 kbps	  ThroughputRx: 421.641 kbps	  ThroughputRx: 461.797 kbps	  ThroughputRx: 431.68 kbps	  ThroughputRx: 331.289 kbps	  ThroughputRx: 481.875 kbps	  ThroughputRx: 341.328 kbps	  ThroughputRx: 431.68 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9747.93 kbps	
  ThroughputRx: 3162.3 kbps	  ThroughputRx: 281.094 kbps	  ThroughputRx: 3172.34 kbps	  ThroughputRx: 391.523 kbps	  ThroughputRx: 281.094 kbps	  ThroughputRx: 371.445 kbps	  ThroughputRx: 331.289 kbps	  ThroughputRx: 311.211 kbps	  ThroughputRx: 311.211 kbps	  ThroughputRx: 391.523 kbps	  ThroughputRx: 391.523 kbps	  ThroughputRx: 351.367 kbps	  ThroughputRx: 9747.93 kbps	
