
  ThroughputRx: 9417.6 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 9417.6 kbps	
  ThroughputRx: 19963.8 kbps	  ThroughputRx: 1177.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 21141 kbps	
  ThroughputRx: 27378 kbps	  ThroughputRx: 2100.6 kbps	  ThroughputRx: 6280.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 35758.8 kbps	
  ThroughputRx: 36244.8 kbps	  ThroughputRx: 2732.4 kbps	  ThroughputRx: 11453.4 kbps	  ThroughputRx: 270 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 50700.6 kbps	
  ThroughputRx: 45527.4 kbps	  ThroughputRx: 3294 kbps	  ThroughputRx: 15746.4 kbps	  ThroughputRx: 810 kbps	  ThroughputRx: 270 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 65647.8 kbps	
  ThroughputRx: 54226.8 kbps	  ThroughputRx: 3855.6 kbps	  ThroughputRx: 20034 kbps	  ThroughputRx: 1339.2 kbps	  ThroughputRx: 810 kbps	  ThroughputRx: 324 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 80589.6 kbps	
  ThroughputRx: 62191.8 kbps	  ThroughputRx: 4422.6 kbps	  ThroughputRx: 24262.2 kbps	  ThroughputRx: 1830.6 kbps	  ThroughputRx: 1344.6 kbps	  ThroughputRx: 1026 kbps	  ThroughputRx: 459 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 95536.8 kbps	
  ThroughputRx: 69184.8 kbps	  ThroughputRx: 4924.8 kbps	  ThroughputRx: 28533.6 kbps	  ThroughputRx: 2370.6 kbps	  ThroughputRx: 1836 kbps	  ThroughputRx: 1738.8 kbps	  ThroughputRx: 1387.8 kbps	  ThroughputRx: 502.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 110479 kbps	
  ThroughputRx: 75394.8 kbps	  ThroughputRx: 5432.4 kbps	  ThroughputRx: 32788.8 kbps	  ThroughputRx: 2910.6 kbps	  ThroughputRx: 2370.6 kbps	  ThroughputRx: 2424.6 kbps	  ThroughputRx: 2322 kbps	  ThroughputRx: 1522.8 kbps	  ThroughputRx: 259.2 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 125426 kbps	
  ThroughputRx: 81048.6 kbps	  ThroughputRx: 5956.2 kbps	  ThroughputRx: 37000.8 kbps	  ThroughputRx: 3450.6 kbps	  ThroughputRx: 2910.6 kbps	  ThroughputRx: 3110.4 kbps	  ThroughputRx: 3240 kbps	  ThroughputRx: 2581.2 kbps	  ThroughputRx: 799.2 kbps	  ThroughputRx: 270 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 140368 kbps	
  ThroughputRx: 86173.2 kbps	  ThroughputRx: 6490.8 kbps	  ThroughputRx: 41218.2 kbps	  ThroughputRx: 3985.2 kbps	  ThroughputRx: 3429 kbps	  ThroughputRx: 3796.2 kbps	  ThroughputRx: 4179.6 kbps	  ThroughputRx: 3645 kbps	  ThroughputRx: 1339.2 kbps	  ThroughputRx: 804.6 kbps	  ThroughputRx: 253.8 kbps	  ThroughputRx: 0 kbps	  ThroughputRx: 155315 kbps	
