bwresv 500 Destination-ip: 167840769	ThroughputRx: 6940.01 kbps	ThroughputRxPps: 0.843873 kpps 0.00698962
bwresv 1000 Destination-ip: 167840769	ThroughputRx: 6476.03 kbps	ThroughputRxPps: 0.787455 kpps 0.0732872
bwresv 1500 Destination-ip: 167840769	ThroughputRx: 5756.1 kbps	ThroughputRxPps: 0.699914 kpps 0.176332
bwresv 2000 Destination-ip: 167840769	ThroughputRx: 5007.45 kbps	ThroughputRxPps: 0.608882 kpps 0.28346
bwresv 2500 Destination-ip: 167840769	ThroughputRx: 4278.85 kbps	ThroughputRxPps: 0.520288 kpps 0.387682
bwresv 3000 Destination-ip: 167840769	ThroughputRx: 3518.64 kbps	ThroughputRxPps: 0.42785 kpps 0.496471
bwresv 3500 Destination-ip: 167840769	ThroughputRx: 2784.86 kbps	ThroughputRxPps: 0.338626 kpps 0.601453
bwresv 4000 Destination-ip: 167840769	ThroughputRx: 2032.02 kbps	ThroughputRxPps: 0.247084 kpps 0.709204
bwresv 4500 Destination-ip: 167840769	ThroughputRx: 1292.14 kbps	ThroughputRxPps: 0.157118 kpps 0.815087
bwresv 5000 Destination-ip: 167840769	ThroughputRx: 710.171 kbps	ThroughputRxPps: 0.0863535 kpps 0.898339
bwresv 5500 Destination-ip: 167840769	ThroughputRx: 524.919 kbps	ThroughputRxPps: 0.0638276 kpps 0.924844
bwresv 6000 Destination-ip: 167840769	ThroughputRx: 508.063 kbps	ThroughputRxPps: 0.0617781 kpps 0.927266
bwresv 6500 Destination-ip: 167840769	ThroughputRx: 506.989 kbps	ThroughputRxPps: 0.0616474 kpps 0.927405
bwresv 7000 Destination-ip: 167840769	ThroughputRx: 507.472 kbps	ThroughputRxPps: 0.0617062 kpps 0.927336
bwresv 7500 Destination-ip: 167840769	ThroughputRx: 507.173 kbps	ThroughputRxPps: 0.0616698 kpps 0.927405
bwresv 8000 Destination-ip: 167840769	ThroughputRx: 507.626 kbps	ThroughputRxPps: 0.0617249 kpps 0.927336
bwresv 8500 Destination-ip: 167840769	ThroughputRx: 508.155 kbps	ThroughputRxPps: 0.0617893 kpps 0.927266
