fd 500 Destination-ip: 167840769	ThroughputRx: 6970.48 kbps	ThroughputRxPps: 0.847578 kpps 0.00262976
fd 1000 Destination-ip: 167840769	ThroughputRx: 6501.29 kbps	ThroughputRxPps: 0.790526 kpps 0.0687197
fd 1500 Destination-ip: 167840769	ThroughputRx: 5753.48 kbps	ThroughputRxPps: 0.699596 kpps 0.175087
fd 2000 Destination-ip: 167840769	ThroughputRx: 5012.36 kbps	ThroughputRxPps: 0.60948 kpps 0.281453
fd 2500 Destination-ip: 167840769	ThroughputRx: 4284.38 kbps	ThroughputRxPps: 0.520961 kpps 0.385813
fd 3000 Destination-ip: 167840769	ThroughputRx: 3531.84 kbps	ThroughputRxPps: 0.429455 kpps 0.493495
fd 3500 Destination-ip: 167840769	ThroughputRx: 3206.02 kbps	ThroughputRxPps: 0.389837 kpps 0.540208
fd 4000 Destination-ip: 167840769	ThroughputRx: 3195.23 kbps	ThroughputRxPps: 0.388526 kpps 0.541661
fd 4500 Destination-ip: 167840769	ThroughputRx: 3194.94 kbps	ThroughputRxPps: 0.38849 kpps 0.54173
fd 5000 Destination-ip: 167840769	ThroughputRx: 3194.85 kbps	ThroughputRxPps: 0.388479 kpps 0.54173
fd 5500 Destination-ip: 167840769	ThroughputRx: 3194.56 kbps	ThroughputRxPps: 0.388443 kpps 0.541799
fd 6000 Destination-ip: 167840769	ThroughputRx: 3194.46 kbps	ThroughputRxPps: 0.388432 kpps 0.541799
fd 6500 Destination-ip: 167840769	ThroughputRx: 3194.37 kbps	ThroughputRxPps: 0.38842 kpps 0.541869
fd 7000 Destination-ip: 167840769	ThroughputRx: 3194.37 kbps	ThroughputRxPps: 0.38842 kpps 0.541869
fd 7500 Destination-ip: 167840769	ThroughputRx: 3194.27 kbps	ThroughputRxPps: 0.388408 kpps 0.541869
fd 8000 Destination-ip: 167840769	ThroughputRx: 3194.46 kbps	ThroughputRxPps: 0.388432 kpps 0.541869
fd 8500 Destination-ip: 167840769	ThroughputRx: 3194.56 kbps	ThroughputRxPps: 0.388443 kpps 0.541869
