stresv 500 Destination-ip: 167840513	ThroughputRx: 523.007 kbps	ThroughputRxPps: 0.0635952 kpps 0.924754
stresv 1000 Destination-ip: 167840513	ThroughputRx: 511.826 kbps	ThroughputRxPps: 0.0622356 kpps 0.926357
stresv 1500 Destination-ip: 167840513	ThroughputRx: 494.594 kbps	ThroughputRxPps: 0.0601403 kpps 0.928865
stresv 2000 Destination-ip: 167840513	ThroughputRx: 513.189 kbps	ThroughputRxPps: 0.0624014 kpps 0.926148
stresv 2500 Destination-ip: 167840513	ThroughputRx: 495.495 kbps	ThroughputRxPps: 0.0602499 kpps 0.928656
stresv 3000 Destination-ip: 167840513	ThroughputRx: 486.492 kbps	ThroughputRxPps: 0.0591552 kpps 0.92998
stresv 3500 Destination-ip: 167840513	ThroughputRx: 500.975 kbps	ThroughputRxPps: 0.0609162 kpps 0.927959
stresv 4000 Destination-ip: 167840513	ThroughputRx: 496.843 kbps	ThroughputRxPps: 0.0604137 kpps 0.928517
stresv 4500 Destination-ip: 167840513	ThroughputRx: 488.324 kbps	ThroughputRxPps: 0.0593779 kpps 0.929771
stresv 5000 Destination-ip: 167840513	ThroughputRx: 490.441 kbps	ThroughputRxPps: 0.0596353 kpps 0.929422
stresv 5500 Destination-ip: 167840513	ThroughputRx: 505.066 kbps	ThroughputRxPps: 0.0614136 kpps 0.927263
stresv 6000 Destination-ip: 167840513	ThroughputRx: 501.523 kbps	ThroughputRxPps: 0.0609828 kpps 0.92775
stresv 6500 Destination-ip: 167840513	ThroughputRx: 504.516 kbps	ThroughputRxPps: 0.0613468 kpps 0.927332
stresv 7000 Destination-ip: 167840513	ThroughputRx: 495.153 kbps	ThroughputRxPps: 0.0602083 kpps 0.928795
stresv 7500 Destination-ip: 167840513	ThroughputRx: 498.001 kbps	ThroughputRxPps: 0.0605546 kpps 0.928308
stresv 8000 Destination-ip: 167840513	ThroughputRx: 475.703 kbps	ThroughputRxPps: 0.0578433 kpps 0.931443
stresv 8500 Destination-ip: 167840513	ThroughputRx: 485.87 kbps	ThroughputRxPps: 0.0590795 kpps 0.92998
