fd 500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.00262976
fd 1000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.0687197
fd 1500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.175087
fd 2000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.281453
fd 2500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.385813
fd 3000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.493495
fd 3500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.540208
fd 4000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541661
fd 4500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.54173
fd 5000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.54173
fd 5500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541799
fd 6000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541799
fd 6500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541869
fd 7000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541869
fd 7500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541869
fd 8000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541869
fd 8500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.541869
